district,avg_age,voter_count,CONSTITUTION,CONSTITUTION_%,DEMOCRAT,DEMOCRAT_%,INDEPENDENT,INDEPENDENT_%,LIBERTARIAN,LIBERTARIAN_%,NONAFFILIATED,NONAFFILIATED_%,OTHER,OTHER_%,PACIFIC_GREEN,PACIFIC_GREEN_%,PROGRESSIVE,PROGRESSIVE_%,REPUBLICAN,REPUBLICAN_%,WORKING_FAMILIES PARTY_OF_OREGON,WORKING_FAMILIES_PARTY_%
LINCOLN COUNTY SCHOOL DISTRICT,55.3,43638,70,0.16%,14590,33.43%,2147,4.92%,311,0.71%,16892,38.71%,146,0.33%,163,0.37%,31,0.07%,9180,21.04%,108,0.25%
LONG CREEK SCHOOL DISTRICT 17,65.7,389,,0.00%,59,15.17%,16,4.11%,2,0.51%,100,25.71%,,0.00%,,0.00%,1,0.26%,210,53.98%,1,0.26%
LOWELL SCHOOL DISTRICT 71,52.07,2223,10,0.45%,600,26.99%,124,5.58%,17,0.76%,763,34.32%,16,0.72%,8,0.36%,1,0.04%,677,30.45%,7,0.31%
MAPLETON SCHOOL DISTRICT 32,56.09,1400,2,0.14%,418,29.86%,69,4.93%,6,0.43%,521,37.21%,14,1.00%,4,0.29%,2,0.14%,359,25.64%,5,0.36%
MARCOLA SCHOOL DISTRICT 79J,54.17,1803,2,0.11%,552,30.62%,74,4.10%,12,0.67%,575,31.89%,12,0.67%,8,0.44%,,0.00%,566,31.39%,2,0.11%
MCDERMITT SCHOOL DISTRICT 51,57.25,36,,0.00%,,0.00%,2,5.56%,,0.00%,7,19.44%,,0.00%,,0.00%,,0.00%,27,75.00%,,0.00%
MCKENZIE SCHOOL DISTRICT 68,56.89,2149,,0.00%,771,35.88%,109,5.07%,19,0.88%,689,32.06%,24,1.12%,14,0.65%,2,0.09%,516,24.01%,5,0.23%
MCMINNVILLE SCHOOL DISTRICT 40,50.15,31313,63,0.20%,9481,30.28%,1517,4.84%,234,0.75%,11246,35.91%,205,0.65%,58,0.19%,17,0.05%,8422,26.90%,70,0.22%
MEDFORD SCHOOL DISTRICT 549,49.93,73234,126,0.17%,18459,25.21%,3920,5.35%,559,0.76%,27076,36.97%,533,0.73%,149,0.20%,41,0.06%,22211,30.33%,160,0.22%
MILTON-FREEWATER SCHOOL DISTRICT 7,50.15,8142,19,0.23%,1423,17.48%,316,3.88%,52,0.64%,3766,46.25%,86,1.06%,12,0.15%,28,0.34%,2413,29.64%,27,0.33%
MITCHELL SCHOOL DISTRICT 55,58.5,372,,0.00%,80,21.51%,19,5.11%,5,1.34%,95,25.54%,6,1.61%,,0.00%,,0.00%,165,44.35%,2,0.54%
MOLALLA RIVER SCHOOL DISTRICT 35,49.23,16803,34,0.20%,3836,22.83%,692,4.12%,138,0.82%,6018,35.82%,164,0.98%,39,0.23%,8,0.05%,5829,34.69%,45,0.27%
MONROE SCHOOL DISTRICT 1J,52,2541,3,0.12%,671,26.41%,116,4.57%,18,0.71%,804,31.64%,17,0.67%,11,0.43%,2,0.08%,894,35.18%,5,0.20%
MONUMENT SCHOOL DISTRICT 8,61.87,383,,0.00%,72,18.80%,16,4.18%,5,1.31%,116,30.29%,2,0.52%,,0.00%,,0.00%,172,44.91%,,0.00%
MORROW SCHOOL DISTRICT 1,48.84,6694,14,0.21%,1207,18.03%,309,4.62%,42,0.63%,2948,44.04%,44,0.66%,2,0.03%,2,0.03%,2092,31.25%,34,0.51%
MOUNT ANGEL SCHOOL DISTRICT 91,51.48,2728,,0.00%,705,25.84%,120,4.40%,14,0.51%,919,33.69%,13,0.48%,5,0.18%,1,0.04%,949,34.79%,2,0.07%
MYRTLE POINT SCHOOL DISTRICT 41,53.94,4147,17,0.41%,838,20.21%,197,4.75%,28,0.68%,1510,36.41%,23,0.55%,8,0.19%,,0.00%,1517,36.58%,9,0.22%
NEAH-KAH-NIE SCHOOL DISTRICT 56,57.08,7700,15,0.19%,2821,36.64%,350,4.55%,49,0.64%,2645,34.35%,64,0.83%,26,0.34%,4,0.05%,1706,22.16%,20,0.26%
NESTUCCA VALLEY SCHOOL DISTRICT 101J,55.44,4127,9,0.22%,1231,29.83%,200,4.85%,21,0.51%,1434,34.75%,21,0.51%,9,0.22%,,0.00%,1194,28.93%,8,0.19%
NEWBERG SCHOOL DISTRICT 29J,49.64,28428,31,0.11%,7758,27.29%,1405,4.94%,243,0.85%,9454,33.26%,199,0.70%,55,0.19%,14,0.05%,9215,32.42%,54,0.19%
NORTH BEND SCHOOL DISTRICT 13,53.87,13657,27,0.20%,3643,26.67%,649,4.75%,112,0.82%,5054,37.01%,88,0.64%,28,0.21%,6,0.04%,4024,29.46%,26,0.19%
NORTH CLACKAMAS SCHOOL DISTRICT 12,49.03,101363,118,0.12%,37174,36.67%,4438,4.38%,760,0.75%,35251,34.78%,843,0.83%,320,0.32%,115,0.11%,21908,21.61%,436,0.43%
NORTH DOUGLAS SCHOOL DISTRICT 22,52.47,2165,6,0.28%,430,19.86%,98,4.53%,18,0.83%,819,37.83%,20,0.92%,3,0.14%,,0.00%,763,35.24%,8,0.37%
NORTH LAKE SCHOOL DISTRICT 14,56.29,1583,6,0.38%,219,13.83%,86,5.43%,13,0.82%,546,34.49%,7,0.44%,4,0.25%,1,0.06%,695,43.90%,6,0.38%
NORTH MARION SCHOOL DISTRICT 15,49.42,7742,18,0.23%,1937,25.02%,316,4.08%,49,0.63%,2858,36.92%,68,0.88%,14,0.18%,6,0.08%,2461,31.79%,15,0.19%
NORTH POWDER SCHOOL DISTRICT 8J,53.81,699,1,0.14%,107,15.31%,27,3.86%,6,0.86%,235,33.62%,5,0.72%,,0.00%,2,0.29%,316,45.21%,,0.00%
NORTH SANTIAM SCHOOL DISTRICT 29J,51.4,13260,27,0.20%,2798,21.10%,622,4.69%,100,0.75%,4477,33.76%,86,0.65%,19,0.14%,5,0.04%,5096,38.43%,30,0.23%
NORTH WASCO SCHOOL DISTRICT 21,50.45,16698,25,0.15%,4884,29.25%,725,4.34%,147,0.88%,6650,39.83%,163,0.98%,47,0.28%,12,0.07%,3995,23.93%,50,0.30%
NYSSA SCHOOL DISTRICT 26,46.92,3181,7,0.22%,497,15.62%,85,2.67%,17,0.53%,1548,48.66%,7,0.22%,1,0.03%,,0.00%,1016,31.94%,3,0.09%
OAKLAND SCHOOL DISTRICT 1,54.51,2905,11,0.38%,618,21.27%,136,4.68%,18,0.62%,970,33.39%,12,0.41%,7,0.24%,,0.00%,1122,38.62%,11,0.38%
OAKRIDGE SCHOOL DISTRICT 76,54.76,3516,10,0.28%,976,27.76%,179,5.09%,28,0.80%,1410,40.10%,34,0.97%,14,0.40%,3,0.09%,850,24.18%,12,0.34%
ONTARIO SCHOOL DISTRICT 8,48.84,11042,24,0.22%,1790,16.21%,372,3.37%,57,0.52%,5493,49.75%,47,0.43%,13,0.12%,8,0.07%,3201,28.99%,37,0.34%
OREGON CITY SCHOOL DISTRICT 62,49.41,49815,66,0.13%,15802,31.72%,2400,4.82%,398,0.80%,16791,33.71%,447,0.90%,109,0.22%,33,0.07%,13587,27.27%,182,0.37%
OREGON TRAIL SCHOOL DISTRICT 46,50.09,27034,41,0.15%,7389,27.33%,1270,4.70%,215,0.80%,9752,36.07%,268,0.99%,74,0.27%,21,0.08%,7904,29.24%,100,0.37%
PAISLEY SCHOOL DISTRICT 11,54.93,412,3,0.73%,61,14.81%,21,5.10%,4,0.97%,110,26.70%,1,0.24%,1,0.24%,1,0.24%,209,50.73%,1,0.24%
PARKROSE SCHOOL DISTRICT 3,48.32,21631,22,0.10%,9191,42.49%,787,3.64%,160,0.74%,7663,35.43%,247,1.14%,99,0.46%,28,0.13%,3196,14.78%,238,1.10%
PENDLETON SCHOOL DISTRICT 16,48.91,17446,32,0.18%,3793,21.74%,818,4.69%,126,0.72%,6859,39.32%,182,1.04%,32,0.18%,10,0.06%,5537,31.74%,57,0.33%
PERRYDALE SCHOOL DISTRICT 21,51.82,828,4,0.48%,168,20.29%,29,3.50%,7,0.85%,216,26.09%,2,0.24%,2,0.24%,,0.00%,398,48.07%,2,0.24%
PHILOMATH SCHOOL DISTRICT 17J,49.52,7297,10,0.14%,2534,34.73%,305,4.18%,63,0.86%,2370,32.48%,37,0.51%,35,0.48%,7,0.10%,1924,26.37%,12,0.16%
PHOENIX-TALENT SCHOOL DISTRICT 4,54.07,21177,32,0.15%,7411,35.00%,1017,4.80%,141,0.67%,7017,33.14%,133,0.63%,69,0.33%,17,0.08%,5306,25.06%,34,0.16%
PILOT ROCK SCHOOL DISTRICT 2,51.6,1585,7,0.44%,208,13.12%,64,4.04%,14,0.88%,624,39.37%,13,0.82%,1,0.06%,,0.00%,648,40.88%,6,0.38%
PINE CREEK SCHOOL DISTRICT 5,49.91,43,1,2.33%,,0.00%,2,4.65%,,0.00%,10,23.26%,,0.00%,,0.00%,,0.00%,30,69.77%,,0.00%
PINE-EAGLE SCHOOL DISTRICT 61,58,1654,4,0.24%,321,19.41%,95,5.74%,10,0.60%,514,31.08%,6,0.36%,7,0.42%,,0.00%,696,42.08%,1,0.06%
PINEHURST SCHOOL DISTRICT 94,51.62,304,,0.00%,106,34.87%,13,4.28%,3,0.99%,118,38.82%,3,0.99%,2,0.66%,1,0.33%,58,19.08%,,0.00%
PLEASANT HILL SCHOOL DISTRICT 1,54.07,5848,9,0.15%,1746,29.86%,266,4.55%,40,0.68%,1730,29.58%,46,0.79%,15,0.26%,5,0.09%,1979,33.84%,12,0.21%
PLUSH SCHOOL DISTRICT 18,54.51,73,,0.00%,7,9.59%,2,2.74%,,0.00%,26,35.62%,,0.00%,,0.00%,,0.00%,38,52.05%,,0.00%
PORT ORFORD-LANGLOIS SCHOOL DISTRICT 2J,58.79,3320,9,0.27%,1009,30.39%,151,4.55%,39,1.17%,1195,35.99%,12,0.36%,13,0.39%,3,0.09%,884,26.63%,5,0.15%
PORTLAND SCHOOL DISTRICT 1J,45.86,483601,381,0.08%,266215,55.05%,16948,3.50%,3372,0.70%,147740,30.55%,4406,0.91%,3205,0.66%,792,0.16%,36489,7.55%,4053,0.84%
POWERS SCHOOL DISTRICT 31,54.76,667,,0.00%,151,22.64%,24,3.60%,7,1.05%,286,42.88%,4,0.60%,,0.00%,1,0.15%,190,28.49%,4,0.60%
PRAIRIE CITY SCHOOL DISTRICT 4,59.11,1042,4,0.38%,185,17.75%,35,3.36%,8,0.77%,319,30.61%,6,0.58%,1,0.10%,,0.00%,484,46.45%,,0.00%
PROSPECT SCHOOL DISTRICT 59,54.08,982,,0.00%,199,20.26%,58,5.91%,3,0.31%,390,39.71%,13,1.32%,2,0.20%,,0.00%,311,31.67%,6,0.61%
RAINIER SCHOOL DISTRICT 13,52.11,6553,17,0.26%,1797,27.42%,284,4.33%,42,0.64%,2715,41.43%,52,0.79%,11,0.17%,2,0.03%,1610,24.57%,22,0.34%
REDMOND SCHOOL DISTRICT 2J,51.49,45668,82,0.18%,10470,22.93%,2604,5.70%,391,0.86%,15618,34.20%,357,0.78%,70,0.15%,19,0.04%,15979,34.99%,78,0.17%
REEDSPORT SCHOOL DISTRICT 105,57.1,5294,10,0.19%,1412,26.67%,305,5.76%,29,0.55%,1892,35.74%,42,0.79%,13,0.25%,8,0.15%,1571,29.68%,12,0.23%
REYNOLDS SCHOOL DISTRICT 7,47.63,56226,96,0.17%,19788,35.19%,2187,3.89%,375,0.67%,22247,39.57%,569,1.01%,163,0.29%,43,0.08%,10143,18.04%,615,1.09%
RIDDLE SCHOOL DISTRICT 70,52.58,2019,6,0.30%,361,17.88%,94,4.66%,13,0.64%,836,41.41%,18,0.89%,1,0.05%,2,0.10%,684,33.88%,4,0.20%
RIVERDALE SCHOOL DISTRICT 51J,42.86,2368,,0.00%,1123,47.42%,115,4.86%,11,0.46%,704,29.73%,15,0.63%,4,0.17%,3,0.13%,392,16.55%,1,0.04%
ROGUE RIVER SCHOOL DISTRICT 35,54.74,9121,25,0.27%,1781,19.53%,500,5.48%,78,0.86%,3320,36.40%,81,0.89%,14,0.15%,2,0.02%,3295,36.13%,25,0.27%
ROSEBURG SCHOOL DISTRICT 4,52.89,40713,87,0.21%,9026,22.17%,1970,4.84%,268,0.66%,13771,33.82%,321,0.79%,71,0.17%,40,0.10%,15052,36.97%,107,0.26%
SALEM-KEIZER SCHOOL DISTRICT 24J,48.32,184051,287,0.16%,56016,30.44%,8139,4.42%,1282,0.70%,69280,37.64%,1207,0.66%,368,0.20%,144,0.08%,46890,25.48%,438,0.24%
SANTIAM CANYON SCHOOL DISTRICT 129J,52.99,3469,5,0.14%,767,22.11%,200,5.77%,22,0.63%,1374,39.61%,37,1.07%,11,0.32%,3,0.09%,1033,29.78%,17,0.49%
SCAPPOOSE SCHOOL DISTRICT 1J,51.4,13535,26,0.19%,4677,34.55%,561,4.14%,117,0.86%,4434,32.76%,99,0.73%,48,0.35%,5,0.04%,3514,25.96%,54,0.40%
SCIO SCHOOL DISTRICT 95,51.51,3453,7,0.20%,676,19.58%,142,4.11%,22,0.64%,1172,33.94%,23,0.67%,5,0.14%,1,0.03%,1398,40.49%,7,0.20%
SEASIDE SCHOOL DISTRICT 10,54.04,11887,23,0.19%,3950,33.23%,591,4.97%,90,0.76%,4406,37.07%,68,0.57%,37,0.31%,11,0.09%,2674,22.50%,37,0.31%
SHERIDAN SCHOOL DISTRICT 48J,49.3,4599,14,0.30%,956,20.79%,227,4.94%,43,0.93%,1910,41.53%,39,0.85%,21,0.46%,4,0.09%,1371,29.81%,14,0.30%
SHERMAN SCHOOL DISTRICT 1,53.12,1643,4,0.24%,322,19.60%,71,4.32%,13,0.79%,492,29.95%,14,0.85%,3,0.18%,1,0.06%,717,43.64%,6,0.37%
SHERWOOD SCHOOL DISTRICT 88J,48.05,18951,14,0.07%,5737,30.27%,940,4.96%,149,0.79%,6077,32.07%,57,0.30%,30,0.16%,15,0.08%,5912,31.20%,20,0.11%
SILVER FALLS SCHOOL DISTRICT 4J,50.38,15886,26,0.16%,4225,26.60%,706,4.44%,107,0.67%,5034,31.69%,100,0.63%,35,0.22%,10,0.06%,5612,35.33%,31,0.20%
SISTERS SCHOOL DISTRICT 6,56.28,8485,12,0.14%,2550,30.05%,465,5.48%,64,0.75%,2331,27.47%,70,0.82%,18,0.21%,,0.00%,2966,34.96%,9,0.11%
SIUSLAW SCHOOL DISTRICT 97J,60.91,14583,20,0.14%,4487,30.77%,835,5.73%,91,0.62%,4781,32.78%,133,0.91%,36,0.25%,9,0.06%,4157,28.51%,34,0.23%
SOUTH HARNEY SCHOOL DISTRICT 33,50.68,131,,0.00%,8,6.11%,5,3.82%,,0.00%,38,29.01%,,0.00%,,0.00%,,0.00%,80,61.07%,,0.00%
SOUTH LANE SCHOOL DISTRICT 45J,52.08,15715,22,0.14%,4421,28.13%,697,4.44%,131,0.83%,5605,35.67%,143,0.91%,52,0.33%,7,0.04%,4598,29.26%,39,0.25%
SOUTH UMPQUA SCHOOL DISTRICT 19,53.37,10311,23,0.22%,1962,19.03%,502,4.87%,66,0.64%,4098,39.74%,81,0.79%,12,0.12%,10,0.10%,3522,34.16%,35,0.34%
SOUTH WASCO COUNTY SCHOOL DISTRICT 1,58.43,1922,7,0.36%,504,26.22%,84,4.37%,12,0.62%,636,33.09%,21,1.09%,5,0.26%,,0.00%,646,33.61%,7,0.36%
SPRAY SCHOOL DISTRICT 1,58.26,389,2,0.51%,60,15.42%,14,3.60%,,0.00%,109,28.02%,2,0.51%,,0.00%,,0.00%,202,51.93%,,0.00%
SPRINGFIELD SCHOOL DISTRICT 19,48.69,60353,101,0.17%,19389,32.13%,2736,4.53%,436,0.72%,22427,37.16%,527,0.87%,153,0.25%,59,0.10%,14311,23.71%,214,0.35%
ST. HELENS SCHOOL DISTRICT 502,49.14,18103,51,0.28%,5692,31.44%,823,4.55%,152,0.84%,6604,36.48%,127,0.70%,44,0.24%,11,0.06%,4507,24.90%,91,0.50%
ST. PAUL SCHOOL DISTRICT 45,49.1,946,,0.00%,198,20.93%,40,4.23%,11,1.16%,285,30.13%,3,0.32%,1,0.11%,1,0.11%,404,42.71%,3,0.32%
STANFIELD SCHOOL DISTRICT 61,47.85,1957,5,0.26%,318,16.25%,87,4.45%,11,0.56%,898,45.89%,14,0.72%,2,0.10%,,0.00%,617,31.53%,5,0.26%
SUNTEX SCHOOL DISTRICT 10,48.74,85,1,1.18%,6,7.06%,3,3.53%,1,1.18%,19,22.35%,,0.00%,,0.00%,,0.00%,55,64.71%,,0.00%
SUTHERLIN SCHOOL DISTRICT 130,54.77,8809,22,0.25%,1780,20.21%,473,5.37%,49,0.56%,3101,35.20%,68,0.77%,14,0.16%,15,0.17%,3269,37.11%,18,0.20%
SWEET HOME SCHOOL DISTRICT 55,51.79,13297,33,0.25%,2719,20.45%,663,4.99%,101,0.76%,5211,39.19%,105,0.79%,46,0.35%,13,0.10%,4364,32.82%,42,0.32%
THREE RIVERS SCHOOL DISTRICT,54.55,46932,137,0.29%,10088,21.49%,2313,4.93%,356,0.76%,17584,37.47%,524,1.12%,176,0.38%,22,0.05%,15636,33.32%,96,0.20%
TIGARD-TUALATIN SCHOOL DISTRICT 23J,49.02,69402,73,0.11%,25183,36.29%,3160,4.55%,566,0.82%,22907,33.01%,244,0.35%,129,0.19%,46,0.07%,16935,24.40%,159,0.23%
TILLAMOOK SCHOOL DISTRICT 9,52.03,10630,11,0.10%,2783,26.18%,439,4.13%,90,0.85%,4074,38.33%,83,0.78%,15,0.14%,6,0.06%,3107,29.23%,22,0.21%
TROY SCHOOL DISTRICT 54,62.3,47,,0.00%,13,27.66%,2,4.26%,,0.00%,12,25.53%,1,2.13%,,0.00%,,0.00%,19,40.43%,,0.00%
UKIAH SCHOOL DISTRICT 80,55.84,217,,0.00%,28,12.90%,13,5.99%,2,0.92%,84,38.71%,2,0.92%,,0.00%,,0.00%,87,40.09%,1,0.46%
UMATILLA SCHOOL DISTRICT 6,45.57,4087,14,0.34%,738,18.06%,155,3.79%,32,0.78%,2123,51.95%,34,0.83%,5,0.12%,1,0.02%,965,23.61%,20,0.49%
UNION SCHOOL DISTRICT 5,52.97,2241,4,0.18%,392,17.49%,106,4.73%,15,0.67%,676,30.17%,18,0.80%,3,0.13%,2,0.09%,1023,45.65%,2,0.09%
VALE SCHOOL DISTRICT 84,50.4,3498,7,0.20%,428,12.24%,128,3.66%,12,0.34%,1292,36.94%,16,0.46%,3,0.09%,1,0.03%,1601,45.77%,10,0.29%
VERNONIA SCHOOL DISTRICT 47J,49.86,3551,8,0.23%,828,23.32%,176,4.96%,42,1.18%,1369,38.55%,33,0.93%,8,0.23%,1,0.03%,1071,30.16%,15,0.42%
WALLOWA SCHOOL DISTRICT 12,56.43,1577,4,0.25%,315,19.97%,73,4.63%,12,0.76%,464,29.42%,4,0.25%,1,0.06%,,0.00%,702,44.51%,2,0.13%
WARRENTON-HAMMOND SCHOOL DISTRICT 30,50.48,6220,10,0.16%,1638,26.33%,295,4.74%,58,0.93%,2532,40.71%,37,0.59%,14,0.23%,4,0.06%,1622,26.08%,10,0.16%
WEST LINN SCHOOL DISTRICT 3J,48.91,44697,36,0.08%,15539,34.77%,2261,5.06%,313,0.70%,13743,30.75%,250,0.56%,73,0.16%,31,0.07%,12386,27.71%,65,0.15%
WILLAMINA SCHOOL DISTRICT 30J,49.91,5341,13,0.24%,1185,22.19%,219,4.10%,50,0.94%,2314,43.33%,35,0.66%,14,0.26%,3,0.06%,1490,27.90%,18,0.34%
WINSTON-DILLARD SCHOOL DISTRICT 116,52.82,9126,22,0.24%,1786,19.57%,460,5.04%,72,0.79%,3413,37.40%,69,0.76%,16,0.18%,4,0.04%,3251,35.62%,33,0.36%
WOODBURN SCHOOL DISTRICT 103,50.06,15007,21,0.14%,4631,30.86%,514,3.43%,86,0.57%,6122,40.79%,95,0.63%,16,0.11%,7,0.05%,3473,23.14%,42,0.28%
YAMHILL-CARLTON SCHOOL DISTRICT 1,51.17,6236,16,0.26%,1564,25.08%,288,4.62%,67,1.07%,2033,32.60%,41,0.66%,15,0.24%,2,0.03%,2195,35.20%,15,0.24%
YONCALLA SCHOOL DISTRICT 32,54.97,2441,4,0.16%,465,19.05%,118,4.83%,19,0.78%,855,35.03%,15,0.61%,4,0.16%,2,0.08%,949,38.88%,10,0.41%